CT_titles,ECs,common
"Open-label, Randomized, Parallel-Group, Exploratory Study to Investigate the Effects of Different Doses of S-adenosyl-L-methionine (SAMe) in Subjects With Nonalcoholic Steatohepatitis (NASH) and Non-treated Matched Healthy Volunteers as Control Group",[exclusion] subjects after or planned for bariatric surgery (jejunoileal bypass or gastric weight loss surgery),
Reversal of Dual Antiplatelet Therapy With Cold Stored Platelets,[exclusion] healthy subjects will be excluded from the study for any of the following reasons: Participation in an experimental drug/device study within the past 30 days (other than this study). Subjects who have received an infusion on this study may not be re-enrolled,1
A Phase II Study of Single Agent Brentuximab Vedotin in Relapsed/Refractory CD30 Low (<10%) Mature T Cell Lymphoma (TCL),[exclusion] patients with the following medical conditions that could affect their participation in the study: a known history of HIV,1
"Phase IIA, Randomized Placebo-Controlled Trial of Single High Dose Cholecalciferol and Daily Genistein (G-2535) Versus Placebo in Men With Early Stage Prostate Cancer Undergoing Prostatectomy","[exclusion] participant has current, known nephrolithiasis or a history of nephrolithiasis within the past 5 years",
A Phase I/II Trial of TS-1 and Oxaliplatin in Patients With Advanced Colorectal Cancer,"[inclusion] in phase I study, prior radiotherapy is permitted if it was not administered to target lesions selected for this study, unless progression of the selected target lesions within the radiation portal is documented, and provided it has been completed at least 4 weeks before study entry",
Phase 1/1b Study of Redirected Autologous T Cells Engineered to Contain an Anti CD19 and Anti CD20 scFv Coupled to CD3ユ and 4-1BB Signaling Domains in Patients With Relapsed and/or Refractory CD19 or CD20 Positive B Cell Malignancies,[exclusion] acceptable birth control includes a combination of two of the following methods: Diaphragm or cervical cap with spermicide,1
NCI-COG Pediatric MATCH (Molecular Analysis for Therapy Choice) - Phase 2 Subprotocol of Palbociclib in Patients With Tumors Harboring Activating Alterations in Cell Cycle Genes,[inclusion] note: The following do not qualify as measurable disease: Elevated tumor markers in plasma or cerebrospinal fluid (CSF),
RAndomized Study of Basal Bolus Insulin Therapy in the Inpatient Management of Patients With Type 2 Diabetes Undergoing General Surgery (RABBIT 2 Surgery),"[exclusion] acute critical illness or CABG surgery expected to require prolonged admission to a critical care unit (ICU, CCU, SICU, Neuro ICU)",
Perioperative Administration of Pregabalin for Pain After Septoplasty,[inclusion] age 20 ｜ and ∥ 65 years,1
Phase 2 Study of Immunogenicity and Safety of DPT/HB/Hib (Bio Farma) Vaccine Compared to DTP/HB (Bio Farma) Vaccine Given Simultaneously With Hib (Registered) Vaccine in Indonesian Infants,[exclusion] any abnormality or chronic disease which according to the investigator might interfere with the assessment of the trial objective,1
A Randomized Phase III Double Blind Trial Evaluating Selective COX-2 Inhibition in COX-2 Expressing Advanced Non-Small Cell Lung Cancer,"[inclusion] stage IIIB disease with malignant pleural effusion, supraclavicular node involvement, or contralateral hilar node involvement OR stage IV disease",
"A Randomised, Double Blind, Placebo Controlled, 4 Period, Incomplete Block, Crossover Study to Assess the Dose-response Curve of Intranasal Fluticasone Propionate (25, 50, 100 and 200 レg, Once Daily for 8 Days) in the Vienna Challenge Chamber for the Purpose of Investigating the Sensitivity",[inclusion] able to provide written informed consent,1
"A Phase I Study of OTS167PO, a MELK Inhibitor, to Evaluate Safety, Tolerability and Pharmacokinetics in Patients With Advanced Breast Cancer and Dose-Expansion Study in Patients With Triple Negative Breast Cancer","[inclusion] patients with measurable disease according to the response evaluation criteria in TNBC (RECIST, v1.1)",
A Pilot Study of Concerta Treatment in Adults With Attention Deficit Hyperactivity Disorder Not Otherwise Specified,"[inclusion] patients with past history of depression, bipolar disorder, anxiety disorder (including OCD) without current disorder for > 3 months as ascertained through structured diagnostic interview and clinical exam",
"Open-Label, Randomized Phase 1b Study of the Safety & Immunogenicity of Investigational Seasonal Influenza DNA Vaccine Followed by TIV Administered Intradermally (ID) or Intramuscularly (IM) in Healthy Adults 18-70 Years",[exclusion] subject has a history of any of the following clinically significant conditions: Generalized idiopathic urticaria within the 1 year prior to enrollment,
A Pilot Study of the Feasibility of Intraoperative Photodynamic Therapy of Glioblastoma.,"[inclusion] for patients receiving hepatotoxic therapy in the long term, this treatment must be suspended during the 24h after taking 5-ALA",
A Randomized Phase II Study of Two Different Schedules of Caelyx in Metastatic Breast Cancer,"[inclusion] prior adjuvant chemotherapy allowed if total doxorubicin dose is no greater than 300 mg/m2, total epirubicin dose is no greater than 450 mg/m^2, and total mitoxantrone dose is no greater than 75 mg/m^2",
Phase III Comparison of Depomedroxyprogesterone Acetate (DPROV) to Venlafaxine for Managing Hot Flashes,"[inclusion] bothersome hot flashes, defined as occurrence at least 14 times per week and of sufficient severity as to make patient desire therapeutic intervention",
INFORM2 Exploratory Multinational Phase I/II Combination Study of Nivolumab and Entinostat in Children and Adolescents With Refractory High-risk Malignancies,"[inclusion] molecular analysis for biomarker identification (SNV load, PDL1 mRNA expression, MYC/N amplification) in laboratories complying with DIN EN ISO/IEC 17025 or similar via INFORM molecular diagnostic platform or equivalently valid molecular pipeline",
"Immunogenicity and Safety Study of GlaxoSmithKline Biological's Live Attenuated Measles Mumps Rubella Varicella Vaccine (PriorixTetra≒) When Co-administered With Conjugated Meningococcal C Vaccine (Meningitec∝, Nuron Biotechs' Vaccine) in Healthy Children","[exclusion] previous vaccination against measles, mumps, rubella, varicella/ herpes zoster and/or N. meningitidis serogroup C",
A Phase IV Double Blind Randomised Controlled Trial (DBRCT) to Investigate the Effect of PCV-13 and PPV-23 on Pneumococcal Colonisation Using the Experimental Human Pneumococcal Challenge (EHPC) Model in Healthy Adults,[exclusion] vaccination (self-reported or confirmed from GP questionnaire [GPQ] or medical summary if deemed necessary at clinician discretion): Have had any previous pneumococcal vaccination (including in a research study),
Durvalumab (MEDI4736) in Frail and Elder Patients With Metastatic NSCLC (DURATION),"[exclusion] any condition that, in the opinion of the investigator, would interfere with evaluation of study treatment or interpretation of patient safety or study results",1
A Phase II Study of Epothilone B Analog BMS-247550 (NSC 710428) in Patients With Relapsed Aggressive Non-Hodgkin's Lymphomas,[inclusion] no ongoing or active infection,1
Pharmacological and Behavioral Treatments to Treat Loss-of-Control Eating and Improve Weight Outcomes After Bariatric Surgery: Acute (Stage 1),"[exclusion] is currently taking a medication that is a contraindication to NB medication (e.g., MAOI, opiates)",
Cholinergic Modulation of Cognition and Emotion in Mood Disorders: Functional Neuroimaging Studies,"[exclusion] current blood pressure of >140 mm Hg or < 90 mm Hg systolic, or > 90 mm Hg diastolic (due to the potential cardiovascular effects of scopolamine and physostigmine)",
"A Randomized Blinded, LT Dose-ranging Study to Assess the Immunogenicity and Safety of Different Doses of LT Adjuvant Patch Administered in Conjunction With Different Doses of Inactivated Influenza A/H5N1 Vaccine in Healthy Adults",[exclusion] known allergies to any component of the vaccine,1
"A Phase I, First-in-Human, Randomized, Subject and Investigator-Blind, Sponsor Open, Single Escalating Dose Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Pf-04958242 in Healthy Adult Volunteers",[inclusion] total body weight >50 kilograms (kg) (110 pounds [lbs]),1
"An Open, Escalating Phase I Clinical Trial of BAT8003 (for Injection) on the Safety, Tolerability and Pharmacokinetics for Patients With Advanced Epithelial Cancer",[exclusion] pregnant or lactating women,1
"A Phase IV, Multicenter, Randomized, Double-blinded, Clinical Trial to Confirm the Efficacy of the 75 IU Dose of Luveris∝ vs. Placebo When Administered With Follitropin Alfa for Induction of Follicular Development and Pregnancy in Hypogonadotropic Hypogonadal Women With Profound LH Deficiency, as Defined by a Baseline LH Level <1.2 IU/L",[exclusion] known active substance abuse or eating disorder,1
"Randomized, 2-way Crossover, Bioequivalence Study of Fentanyl 25 レg/h Transdermal System and Duragesic 25 レg/h Transdermal System Administrated as 1 x 25 レg/h Single Application in the Healthy Subjects","[exclusion] history or presence of any clinically significant liver or kidney disease or other conditions known to interfere with the absorption, distribution, metabolism or excretion of the drug",1
"Investigation of Intranasal Ketamine Related Changes in Attentional Brain Networks With Functional and Structural MRI: a Placebo Controlled, Randomized, Cross-over Trial",[inclusion] right-handedness (due to potential lateralization effects of left-handed subjects),
"Phase II Trial of Y90 Ibritumomab Tiuxetan Post Rituximab-Cyclophosphamide, Doxobrubicn, Vincristine and Prednisone (R-CHOP) Chemotherapy for Newly Diagnosed Patients With Advanced Stage Follicular Lymphoma",[inclusion] intermediate or high-risk prognostic score (2-5 points) according to the follicular lymphoma international prognostic index (FLIPI),
Supportive Versus Immunosuppressive Therapy for the Treatment Of Progressive IgA Nephropathy,"[exclusion] contraindication for immunosuppressive therapy, like",1
A Prospective Randomised Phase III Trial of Early Hospital Discharge Versus Standard Inpatient Management of Cancer Patients With Low-Risk Febrile Neutropenia Receiving Oral Antibiotics. Oral Antibiotics for Neutropenic Sepsis Giving Early Hospital Discharge [ORANGE],"[inclusion] low-risk patient, defined as Multinational Association for Supportive Care in Cancer prognostic index score ｜ 21",
"An Open-label, Non-randomised, Single-dose, Parallel-group Study of Pharmacokinetic Properties of 200 mg (2 x 100 mg Tablets Once Daily) and 300 mg (3 x 100 mg Tablets Once Daily) Nevirapine Extended Release Formulations Compared to 200 mg VIRAMUNE∝ Tablet as Well as to 400 mg Nevirapine Extended Release Tablet Following Oral Administration in Healthy Male Volunteers","[exclusion] any finding of the medical examination (including BP, PR and ECG) deviating from normal and of clinical relevance",1
"Phase 2, Open-Label Safety and Efficacy Study of Telisotuzumab Vedotin (ABBV-399) in Subjects With Previously Treated c-Met+ Non-Small Cell Lung Cancer","[exclusion] has unresolved clinically significant adverse events >= grade 2 from prior anticancer therapy, except for alopecia or anemia",
"A Clinical Study to Evaluate the Immunogenicity and Safety of Pandemic Influenza Vaccine, AdimFlu-W (H5N1), in Healthy Adults",[exclusion] medical history of physician-confirmed infection with an H5N1 virus or a history of vaccination with an H5N1 influenza vaccine,
Evaluation of UCPVax Plus Nivolumab as Second Line Therapy in Advanced Non Small Cell Lung : a Randomized Non Comparative Phase II Trial,"[exclusion] active autoimmune disease that has required a systemic treatment in past 2 years (i.e. corticosteroids or immunosuppressive drugs). Replacement therapy (e.g. thyroxine, insulin) is allowed",1
Pilot Study of the Antibody-drug Conjugate Glembatumumab Vedotin (CDX-011) Following Doxorubicin (Adriamycin) and Cytoxan as Neo-adjuvant Therapy in Glycoprotein NMB-expressing High Risk Triple Negative Breast Cancer,[inclusion] age ｜ 18 years,1
A Phase I/II Open-label Multicenter Study of AT7519M Alone and in Combination With Bortezomib in Patients With Previously Treated Multiple Myeloma,[exclusion] all previous cytotoxic therapies for MM must have been completed at least four weeks prior to treatment with AT7519M (two weeks for all non-cytotoxic therapy),
Impact of Prophylactic Penehyclidine Hydrochloride Inhalation on Long-term Outcome in High-risk Patients: 3-year Follow-up of a Randomized Controlled Trial,[inclusion] the expected duration of surgery is 2 hours or longer,
Assessing Top Down and Bottom Up Attention Mechanisms in Smokers Using Nicotine Nasal Spray,[inclusion] nicAlert reading greater than or equal to 3,
"A Randomized, Placebo Controlled, Partially Blinded Phase II Study to Evaluate Safety, Immunogenicity, and Prevention of Infection With Mycobacterium Tuberculosis of AERAS-404 and BCG Revaccination in Healthy Adolescents","[inclusion] has general good health, confirmed by medical history and physical examination",1
Cardiovascular Effects of Apelin In Healthy Volunteers,[exclusion] pregnant or lactating at screening,1
Carbetocin Versus Oxytocin Infusion Plus Tranexamic Acid for Prevention of Postpartum Hemorrhage at Cesarean Section: A Double-Blind Randomized Clinical Trial,"[exclusion] women with a history of hypersensitivity to carbetocin, TA or oxytocin",1
A Phase I Study of the Mesothelin-Targeted Immunotoxin LMB-100 With or Without Nab-Paclitaxel (Abraxane) in Patients With Malignant Mesothelioma,[inclusion] patients must have had at least one prior chemotherapy regimen that includes pemetrexed and cisplatin or carboplatin. There is no limit to the number of prior chemotherapy regimens received,
"Interventional, Randomized, Double-blind, Placebo-controlled, Single-ascending-dose Study Investigating the Safety, Tolerability, and Pharmacokinetic Properties of Lu AF87908 in Healthy Subjects and Patients With Alzheimer's Disease",[inclusion] ｜50 years of age,1
A Randomized Controlled Trial to Evaluate a Novel Analgesia Technique for ACL Reconstruction: Adductor Canal Block With an IPACK Versus Adductor Canal Block,[inclusion] patients undergoing BTB ACL reconstruction with participating surgeon,
"A Multicenter, Open-label, Phase Ib/II Study to Evaluate the Efficacy and Safety of Anti-PD-1 Antibody AK105 in Patients With Selected Advanced Solid Tumors","[exclusion] patients with pleural effusion, pericardial effusion or ascites that could not be controlled stably by repeated drainage or other methods as judged by the investigator",
Assessment of the Efficacy of Bevacizumab in Combination With Folfiri as Second-line Treatment After the Failure of the Cisplatin (or Carboplatin)-Etoposide Combination in Patients Suffering From an Advanced Inoperable Poorly Differentiated Neuroendocrine Carcinoma of an Unknown or Gastroentero-pancreatic Primary Cancer. A Phase 2 Non-comparative Randomized Study,"[inclusion] man or woman aged ｜ 18 years old,",1
Autophagy Inhibition to Augment Mammilian Target of Rapamycin (mTOR) Inhibition: A Phase I/II Trial of RAD001 and Hydroxychloroquine (HCQ) in Patients With Previously Treated Renal Cell Carcinoma,[inclusion] ALT and aspartate aminotransferase (AST) 2.5x upper limit of normal ( 5x upper limit of normal in patients with liver metastases),1
Phase II Study of XL184 (Cabozantinib) in Combination With Nivolumab and Ipilimumab (CaboNivoIpi) in Patients With Radioiodine-Refractory Differentiated Thyroid Cancer Whose Cancer Progressed After One Prior VEGFR-Targeted Therapy,[exclusion] patients must not have a history of severe hypersensitivity reactions to any monoclonal antibodies,1
"Intermittent Treatment With Sulfadoxine-Pyrimethamine for Malaria Control in Children: A Randomised, Double Blind, and Placebo-Controlled Clinical Trial",[inclusion] informed consent by parents or guardian,1
A Phase 1B Trial of Preoperative Eribulin and Radiation for Retroperitoneal Liposarcoma,[inclusion] absolute neutrophil count (ANC) >= 1 K/cu mm,
Phase 2 Randomized Study of Adriamycin & Docetaxel in the First-line Treatment of Locally Advanced or Metastatic Breast Cancer Patients With Measurable Primary Breast Tumor to Validate Gene Expression & Proteomic Signatures Predictive of Treatment Response,[inclusion] signed informed consent from patient or legal representative,1
A Phase I Study of FT516 as Monotherapy in Relapsed/Refractory Acute Myelogenous Leukemia and in Combination With Monoclonal Antibodies in Relapsed/Refractory B-Cell Lymphoma,[exclusion] currently receiving or likely to require systemic immunosuppressive therapy,1
"A Phase IB, Open-label, Dose-escalating Study of Vatalanib in Combination With Capecitabine in Patients With Advanced Cancer",[exclusion] patients with a history of primary central nervous system tumors or brain metastases,
CSP #2019 - Basal Cell Carcinoma Chemoprevention Trial (B3C),[exclusion] enrolled in another therapeutic interventional trial,1
"An Open Label, Multi-centre Trial of Alipogene Tiparvovec for the Treatment of LPLD Patients",[inclusion] fasting plasma TG concentration >10 mmol/L,
A Randomized Phase III Trial of Neoadjuvant Therapy for Patients With Palpable and Operable HER2-Positive Breast Cancer Comparing the Combination of Trastuzumab Plus Lapatinib to Trastuzumab and to Lapatinib Administered With Weekly Paclitaxel Following AC Accompanied by Correlative Science Studies to Identify Predictors of Pathologic Complete Response,"[exclusion] any sex hormonal therapy, e.g., birth control pills, ovarian hormone replacement therapy, etc. (These patients are eligible if therapy is discontinued prior to randomization)",
A Phase II Study of Intravenous Edotecarin (PHA-782615) in Patients With Anthracycline- and Taxane-Refractory or Chemoresistant Metastatic Breast Cancer,[inclusion] more than 4 weeks since prior investigational agents,1
Cognitive Behavioral Therapy +/- Armodafinil for Insomnia and Fatigue Following Chemotherapy,[exclusion] have surgery planned within the study period,
PREvention of VENous Thromboembolism In Hemorrhagic Stroke Patients,[inclusion] intracranial spontaneous hemorrhage on brain CT scan,
An Open-Label Pilot Study to Evaluate the Efficacy and Safety of a Combination Treatment of Sonidegib (LDE225) and Buparlisib (BKM120) For the Treatment of Advanced Basal Cell Carcinomas,[inclusion] total calcium (corrected for serum albumin) within normal limits (biphosphonate use for malignant hypercalcemia control is not allowed),
A Pilot Feasibility Study of Oral 5-Fluorocytosine and Genetically-Modified Neural Stem Cells Expressing E.Coli Cytosine Deaminase for Treatment of Recurrent High Grade Gliomas,[exclusion] patients who are unable to undergo an MRI,
Phase I/II Study of Multiple-Vaccine Therapy Using Epitope Peptide Restricted to HLA-A*0201 in Combination With Tegafur/Uracil/Folinate in Treating Patients With Refractory Colorectal Cancer,[inclusion] alanine transaminase < 150IU/L,1
"EMPA-VISION: A Randomised, Double-blind, Placebo-controlled, Mechanistic Cardiac Magnetic Resonance Study to Investigate the Effects of Empagliflozin Treatment on Cardiac Physiology and Metabolism in Patients With Heart Failure",[exclusion] history of ketoacidosis,
HBO Effects on Blood Count Recovery and Post-transplant Outcomes Following High-dose Therapy and Autologous HSPC Transplantation for Multiple Myeloma,[exclusion] prior chest surgery or irradiation,
"A Randomized, Double-blind, Cross-over, 4-period, 4 Treatment, Within-subject Placebo-controlled Study to Assess the Optimal Renoprotective Dose of Aliskiren in Hypertensive Type 2 Diabetic Patients With Incipient or Overt Nephropathy",[inclusion] patients must be on stable hypoglycemic medications for at least 8 weeks prior to visit 1 (Screening visit),
A Phase I/II Pilot Study Of Intranodal Delivery Of A Plasmid DNA (Synchrovax SEM Vaccine) In Stage IV Melanoma Patients,[inclusion] no concurrent systemic corticosteroids,
A Prospective Randomized Open-Label Study on the Efficacy and Safety of Intermittent Preventive Treatment in Pregnancy (IPTp) With Dihydroartemisinin-Piperaquine (DP) Versus IPTp With Sulfadoxine-Pyrimethamine (SP) in Malawi,[inclusion] gestational age ∥28 completed weeks (28 6/7) by fundal height/ultrasound,
Radium-223 Dichloride (Alpharadin) in Castration-Resistant (Hormone-Refractory) Prostate Cancer Patients With Bone Metastases,[inclusion] aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ∥ 2.5 x ULN,1
A Phase 1 Study of MLN4924 (Pevonedistat) and Belinostat in Relapsed/Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome,[exclusion] active central nervous system (CNS) leukemia,
"Phase 3 Open-label, Study of OPC-41061 in Subjects With Cardiac-induced Edema (Congestive Heart Failure) - an Investigation of the Safety of Treatment Beyond 7 Days and the Effect of Dose Escalation to 30 mg",[inclusion] A loop diuretic at a daily dosage equivalent to 40 mg or more of furosemide,
A Study to Compare the Bioavailability of Two Sustained-release Theophylline Products,[exclusion] positive testing for HIV and hepatitis B antigens within the previous 3 months,1
A CLINICAL STUDY TO EVALUATE THE EFFICACY OF CAUSTICUM 200C IN THE TREATMENT OF PRIMARY ENURESIS,[exclusion] ?Patients with metabolic illness like Diabetes Mellitus or Diabetes Insipidus will be excluded,
Extending the Time for Thrombolysis in Emergency Neurological Deficits,"[inclusion] patient, family member or legally responsible person depending on local ethics requirements has given informed consent",1
Comparison of Therapeutic Effect of Aqueous Extract of Garlic and Nystatin Mouthwash in Denture Stomatitis,[exclusion] psychologic disorder and alzheimer,1
�������������� ������� ������ �������-�������������� ����������������� ������������ ��������� �������∝ � ��������� � ������������� ������� �������� ������ �� ���� ��������������� ��������,"[exclusion] hyperhomocysteinemia (homocysteine serum levels >15 mmol/dL for men, >12 mmol/dL for women)",
"A 4-week,Phase III, Multicenter, Double-masked, Vehicle-controlled Clinical Study to Evaluate Safety and Efficacy of Cenegermin (Oxervate∝) 20 mcg/mL Ophthalmic Solution Versus Vehicle, in Patients With Severe Sjogren's Dry Eye Disease Under Treatment With Cyclosporine A (PROTEGO-2 Study).",[exclusion] presence of any other ocular disorder or condition requiring topical medication during the entire duration of study in either eye,
"A Phase II Study Of ZD 1839 (NSC 715055, IND 61187) In Patients With Malignant Mesothelioma",[inclusion] see Disease Characteristics,1
Long-Term Safety and Efficacy of Dasatinib (BMS-354825) in Subjects Who Experienced Clinical Benefit on Protocol CA 180-002,[inclusion] resistant or intolerant to prior imatinib mesylate,
"Immunogenicity and Safety of Meningococcal MenABCWY Vaccine, and of rMenB+OMV NZ and MenACWY Administered Concomitantly in the Same Arm or in 2 Different Arms, or Alone","[inclusion] A male or female between, and including, 10 to 25 years of age at the time of the first vaccination",1
Study of the OPTtimum Duration of Acoustic Pulse ThromboLYSis ProcEdure in the Treatment of Acute Submassive Pulmonary Embolism,[exclusion] systolic blood pressure (SBP) less than 90 mm Hg and/or use of vasopressors,
"Study of Tranexamic Acid During Air and Ground Medical Prehospital Transport Trial For Trauma Patients At Risk Of Hemorrhage (STAAMP Trial); Phase III Multicenter, Prospective, Randomized, Double Blind, Interventional Trial",[inclusion] hypotension (Systolic Blood Pressure (SBP) < 90mmHg),
"Phase 2, Rand, Placebo-Controlled, Double-Blind, Dose Ranging Study to Evaluating Safety/Efficacy of Gerilimzumab in Patients With Moderately to Severely Active Rheumatoid Arthritis Inadequately Treated With Methotrexate or TNFメ Antagonist",[exclusion] history of tuberculosis (patients with previous TB treated with local standard of care and with documentation of completion of this therapy will be allowed),1
"An Investigator-initiated Single Center Randomised Clinical Pilot Study to Compare Tolerability of the Sublingual Versus Vestibular Administration Routes for Birch Pollen, Grass Pollen, Ragweed Pollen, or House Dust Mite Allergy Immunotherapy (AIT)",[inclusion] male or female of any race/ethnicity aged 18-65 years at the time of signing the informed consent,1
"Neoadjuvant Chemotherapy or Neoadjuvant Chemoradiotherapy Plus Sintilimab Versus Neoadjuvant Chemoradiotherapy for Locally Advanced Esophageal Squamous Cell Carcinoma: a Multicenter, Randomized, Controlled, Phase III Trial","[inclusion] the following laboratory tests confirm that the bone marrow, liver and kidney functions meet the requirements for study participation: Alanine aminotransferase (ALT) and aspartate aminotransferase (AST) ∥2.5／ULN",1
"Postpartum Prophylaxis for PE Randomized Control Trial Pilot: A Pilot Study Assessing Feasibility of a Randomized, Open-label Trial of Low-Molecular-Weight-Heparin for Postpartum Prophylaxis in Women at Risk of Developing Venous Thromboembolism","[exclusion] need for anticoagulation as judged by the local investigator, may include but not limited to: Mechanical heart valve",
"A Phase I, Randomized, Double-blind, Placebo-controlled Dose Escalation Trial to Assess the Safety Tolerability and Pharmacokinetics of Single and Multiple Oral Administration of HS-10356 in Healthy Volunteers","[exclusion] severe infections, such as cellulitis, pneumonia, sepsis, have occurred or are present in the 30 days prior to screening",1
Randomized Controlled Trial of Hydroxychloroquine Versus Placebo in Early Ambulatory Diagnosis and Treatment of Elderly COVID19 Patients,[exclusion] weight <50 kg,1
"A 24-week, Double Blind, Randomized Study to Investigate the Effect of 500 ?g Roflumilast Tablets Once Daily Versus Placebo on Parameters Indicative of Hyperinflation in Patients With Chronic Obstructive Pulmonary Disease",[exclusion] need for long term oxygen therapy defined as ｜ 15 hours/day,
Reversibility of Dual Antiplatelet Therapy by Platelets.Phase II Study,[exclusion] intake of grapefruits during the last 10 days before,1
"A 26-week, Single Center, Randomized, Placebo-controlled, Double-blind, Parallel-group Study to Evaluate the Effect of Rosuvastatin on Visceral Adipose Tissue in Male Patients With Abdominal Obesity",[exclusion] uncontrolled endocrine disorders,
"A Phase 1 Open-label, Single-dose Study to Assess the Pharmacokinetics, Safety, and Tolerability of Fedratinib in Subjects With Moderate and Severe Hepatic Impairment Compared With Healthy Subjects",[inclusion] subject has moderate or severe hepatic impairment or cirrhosis due to chronic hepatic disease and/or prior alcohol use,1
"A 2-year Multi-centre, Open-label, Local Phase IV Study to Demonstrate the Efficacy and Safety of Adefovir Dipivoxil Tablets (10mg) in Chinese Subjects With HBe Antigen Negative Chronic Hepatitis B",[exclusion] suspicious foci on ultrasound or radiological examination,
An Open-label Study to Assess the Safety and Reactogenicity of GlaxoSmithKline Biologicals' Inactivated Poliomyelitis Vaccine Poliorix Administered as a Booster Dose at 18-24 Months of Age in Healthy Toddlers in China.,[inclusion] subjects who the investigator believes that their parents/ guardians can and will comply with the requirements of the protocol should be enrolled in the study,1
Precision Alemtuzumab Dosing for Allogeneic Hematopoietic Cell Transplantation in Non-Malignant Diseases,[inclusion] age ｜ 6 weeks to ∥ 30 years (at time of enrollment),1
A Phase II Study of Oxaliplatin in Children With Recurrent Solid Tumors,[inclusion] bilirubin ∥ 3 mg/dL,1
Glymphatic Clearance During Anesthesia and Sleep: A Diffusion Tensor Imaging (DTI) Study in Humans,"[inclusion] person aged 20-40 years old,",1
"An Open-label Multicenter Randomized Trial to Evaluate the Efficacy of Bioven, Manufactured by Biopharma Plasma, LLC, in Complex Therapy of Patients With Pneumonia Induced by COVID-19 / SARS-CoV-2",[inclusion] men and women 18 years of age and older,1
"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Ranolazine Monotherapy in Subjects With Type 2 Diabetes Mellitus","[exclusion] treatment with niacin > 200 mg daily; if receiving ∥ 200 mg daily, should be on stable doses for ｜ 90 days prior to screening and for the duration of the study",
Effect of Sacubitril/Valsartan on Right Ventricular Dysfunctioning Patients With Connective Tissue Disease,[exclusion] documented coronary artery disease or prior angiography for coronary artery disease (>50% stenosis),
A Randomized Phase 2/3 Study of Eryaspase in Combination With Gemcitabine and Carboplatin Chemotherapy Versus Chemotherapy Alone for the Treatment of Patients With Metastatic or Locally Recurrent Triple-Negative Breast Cancer,[exclusion] any other severe acute or chronic condition/treatments that may increase the risk of study participation,1
"The CompassHER2 Trials (Comprehensive Use of Pathologic Response Assessment to Optimize Therapy in HER2-Positive Breast Cancer) CompassHER2 Residual Disease (RD), a Double-Blinded, Phase III Randomized Trial of T-DM1 Compared With T-DM1 and Tucatinib",[inclusion] eastern Cooperative Oncology Group (ECOG) performance status 0-1,1
"A Multicenter, Double-Blind, Randomized Study to Evaluate the Efficacy and Safety of Single-Dose IV Oritavancin Versus IV Vancomycin for the Treatment of Patients With Acute Bacterial Skin and Skin Structure Infection (SOLO I)",[exclusion] unwilling to refrain from chronic use of any medication with antipyretic properties,
"A Phase 1 Clinical Trial to Evaluate the Safety, Pharmacokinetics, and Anti-Viral Activity of VRC-HIVMAB060-00-AB (VRC01) and VRC-HIVMAB080-00-AB (VRC01LS) in the Serum and Mucosa of Healthy, HIV-Uninfected Adult Participants","[inclusion] negative anti-hepatitis C virus antibodies (anti-HCV), or negative HCV polymerase chain reaction (PCR) if the anti-HCV is positive",1
Single-Dose Fed Bioequivalence Study of Propranolol Hydrochloride Extended-Release Capsules (160 mg; Mylan) and Inderal∝ LA Capsules (160 mg; Wyeth) in Healthy Volunteers,[exclusion] subjects who have received an investigational drug within 30 days prior to the initial dose of study medication,1
COLA: A Pilot Clinical Trial of COX-2 Inhibition in LAM and TSC,[exclusion] history of seizure within the last year,1
"An Open-label, Multicenter, Dose-escalation and Cohort Expansion Phase 1 Clinical Study of ES102 in Combination With JS001 in Patients With Advanced Solid Tumors",[exclusion] subjects with allergic reactions to the active ingredients of JS001 or any of the excipients,1
Ultrasound Guided Rhomboid Intercostal and Subserratus Plane Block in Breast Cancer Surgeries,[exclusion] patients with potential risk of coagulopathy,
Additional Chemotherapy for EGFRm Patients With the Continued Presence of Plasma ctDNA EGFRm at Week 3 After Start of Osimertinib 1st-line Treatment (PACE-LUNG),[exclusion] inadequate bone marrow reserve or organ function as demonstrated by any of the following laboratory values: Platelet count below lower limit of normal (<LLN) *,
"A Cross-over, Randomized and Open-label Clinical Trial to Evaluate the Effects of Food on the Bioavailability of CKD-337 After a Single Oral Dose in Healthy Male Subjects",[exclusion] those who has experienced photoallergy or phototoxicity during treatment with fibrates or ketoprofen,
The Efficacy and Safety of Tacrolimus Ointment in Adult Patients With Moderate to Severe Atopic Dermatitis,[exclusion] participant with a known hypersensitivity (altered reactivity to an antigen) to macrolides (drugs exhibiting antibiotic properties) or any excipient of the ointment,1
"A Phase 2 Study of Cemiplimab, an Anti-PD-1 Monoclonal Antibody, and ISA101b Vaccine in Patients With Recurrent/Metastatic HPV16 Cervical Cancer Who Have Experienced Disease Progression After First Line Chemotherapy",[exclusion] prior treatment with an agent that blocks the PD-1/PD-L1 pathway,
PHASE III COMPARISON OF TAXOTERE (DOCETAXEL) AND TAXOL (PACLITAXEL) IN PATIENTS WITH ADVANCED BREAST CANCER,[inclusion] fertile patients must use effective contraception,1
